job_id,job_title,company,location,job_description,experience,education,salary_lpa,job_type,required_skills
JOB551989,AI Engineer,Amazon,"Chennai, Tamil Nadu","We are hiring a AI Engineer at Amazon in Chennai, Tamil Nadu. The role requires 0-1 years of experience and MCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, TensorFlow, NLP, LLM, Docker, Deep Learning is preferred. This is a full-time opportunity.",0-1 years,MCA,3.7,Full-time,"Python, TensorFlow, NLP, LLM, Docker, Deep Learning"
JOB863587,Power BI Developer,Siemens,"Remote, India","We are hiring a Power BI Developer at Siemens in Remote, India. The role requires 5-8 years of experience and BTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Power BI, Excel, DAX, SQL, Data Modeling is preferred. This is a full-time opportunity.",5-8 years,BTech Computer Science,5.4,Full-time,"Power BI, Excel, DAX, SQL, Data Modeling"
JOB292401,Power BI Developer,Cognizant,"Nagpur, Maharashtra","We are hiring a Power BI Developer at Cognizant in Nagpur, Maharashtra. The role requires 1-3 years of experience and BTech Information Technology or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Power BI, DAX, Power Query, SQL, ETL, Data Modeling is preferred. This is a internship opportunity.",1-3 years,BTech Information Technology,4.4,Internship,"Power BI, DAX, Power Query, SQL, ETL, Data Modeling"
JOB666847,Data Engineer,Wipro,"Noida, Uttar Pradesh","We are hiring a Data Engineer at Wipro in Noida, Uttar Pradesh. The role requires 3-6 years of experience and BTech Information Technology or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Databricks, Azure, Spark, ETL, Python, SQL is preferred. This is a full-time opportunity.",3-6 years,BTech Information Technology,4.6,Full-time,"Databricks, Azure, Spark, ETL, Python, SQL"
JOB520521,DevOps Engineer,Tech Mahindra,"Nashik, Maharashtra","We are hiring a DevOps Engineer at Tech Mahindra in Nashik, Maharashtra. The role requires 0-1 years of experience and MSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux, Git is preferred. This is a internship opportunity.",0-1 years,MSc Data Science,5.6,Internship,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux, Git"
JOB923267,Software Engineer,Mphasis,"Pune, Maharashtra","We are hiring a Software Engineer at Mphasis in Pune, Maharashtra. The role requires 1-3 years of experience and MSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, Java, SQL, Git, REST API, Docker, Agile is preferred. This is a contract opportunity.",1-3 years,MSc Data Science,9,Contract,"Python, Java, SQL, Git, REST API, Docker, Agile"
JOB328275,Cloud Engineer,Bosch,"Ahmedabad, Gujarat","We are hiring a Cloud Engineer at Bosch in Ahmedabad, Gujarat. The role requires 5-8 years of experience and Any Graduate or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with AWS, Kubernetes, Terraform, Jenkins, Docker, Git is preferred. This is a part-time opportunity.",5-8 years,Any Graduate,6.4,Part-time,"AWS, Kubernetes, Terraform, Jenkins, Docker, Git"
JOB994141,Data Analyst,Infosys,"Pune, Maharashtra","We are hiring a Data Analyst at Infosys in Pune, Maharashtra. The role requires 3-6 years of experience and MTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL, Power BI, Excel, Tableau, Python is preferred. This is a internship opportunity.",3-6 years,MTech Computer Science,7.8,Internship,"SQL, Power BI, Excel, Tableau, Python"
JOB808011,SQL Developer,Zoho,"Mumbai, Maharashtra","We are hiring a SQL Developer at Zoho in Mumbai, Maharashtra. The role requires 0-1 years of experience and BCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL, MySQL, PostgreSQL, SQL Server, ETL, Database Design is preferred. This is a full-time opportunity.",0-1 years,BCA,6.1,Full-time,"SQL, MySQL, PostgreSQL, SQL Server, ETL, Database Design"
JOB539589,DevOps Engineer,HCLTech,"Gurugram, Haryana","We are hiring a DevOps Engineer at HCLTech in Gurugram, Haryana. The role requires 3-6 years of experience and MCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux, Git is preferred. This is a full-time opportunity.",3-6 years,MCA,8.7,Full-time,"Docker, Kubernetes, AWS, Jenkins, CI/CD, Linux, Git"
JOB237235,Java Developer,Cognizant,"Ahmedabad, Gujarat","We are hiring a Java Developer at Cognizant in Ahmedabad, Gujarat. The role requires 5-8 years of experience and BSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Java, Spring Boot, Docker, Microservices, SQL is preferred. This is a part-time opportunity.",5-8 years,BSc Data Science,7,Part-time,"Java, Spring Boot, Docker, Microservices, SQL"
JOB690341,Java Developer,Persistent Systems,"Mumbai, Maharashtra","We are hiring a Java Developer at Persistent Systems in Mumbai, Maharashtra. The role requires 8-12 years of experience and BTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Java, Spring Boot, Docker, Microservices, SQL is preferred. This is a internship opportunity.",8-12 years,BTech Computer Science,11.8,Internship,"Java, Spring Boot, Docker, Microservices, SQL"
JOB356150,Business Analyst,Zoho,"Bengaluru, Karnataka","We are hiring a Business Analyst at Zoho in Bengaluru, Karnataka. The role requires 2-5 years of experience and BCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL, Power BI, Excel, JIRA, Statistics is preferred. This is a contract opportunity.",2-5 years,BCA,9.9,Contract,"SQL, Power BI, Excel, JIRA, Statistics"
JOB681542,Power BI Developer,Siemens,"Delhi, India","We are hiring a Power BI Developer at Siemens in Delhi, India. The role requires 2-5 years of experience and BSc Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Power BI, Excel, DAX, SQL, Data Modeling is preferred. This is a full-time opportunity.",2-5 years,BSc Computer Science,8.5,Full-time,"Power BI, Excel, DAX, SQL, Data Modeling"
JOB734210,Data Engineer,IBM,"Mumbai, Maharashtra","We are hiring a Data Engineer at IBM in Mumbai, Maharashtra. The role requires 2-5 years of experience and BE Computer Engineering or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, SQL, ETL, Spark, AWS, Airflow is preferred. This is a part-time opportunity.",2-5 years,BE Computer Engineering,5.8,Part-time,"Python, SQL, ETL, Spark, AWS, Airflow"
JOB987204,Data Scientist,IBM,"Delhi, India","We are hiring a Data Scientist at IBM in Delhi, India. The role requires 1-3 years of experience and Any Graduate or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, TensorFlow, Statistics, Pandas, Machine Learning is preferred. This is a contract opportunity.",1-3 years,Any Graduate,8.9,Contract,"Python, TensorFlow, Statistics, Pandas, Machine Learning"
JOB768061,Data Analyst,IBM,"Pune, Maharashtra","We are hiring a Data Analyst at IBM in Pune, Maharashtra. The role requires 0-1 years of experience and BTech Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL, Power BI, Excel, Tableau, Python is preferred. This is a contract opportunity.",0-1 years,BTech Computer Science,7,Contract,"SQL, Power BI, Excel, Tableau, Python"
JOB824586,Data Engineer,Bosch,"Remote, India","We are hiring a Data Engineer at Bosch in Remote, India. The role requires 5-8 years of experience and MSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, SQL, ETL, Spark, AWS, Airflow is preferred. This is a full-time opportunity.",5-8 years,MSc Data Science,5.8,Full-time,"Python, SQL, ETL, Spark, AWS, Airflow"
JOB143860,Software Engineer,LTIMindtree,"Gurugram, Haryana","We are hiring a Software Engineer at LTIMindtree in Gurugram, Haryana. The role requires 0-1 years of experience and BTech Information Technology or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, Java, SQL, Git, REST API, Docker, Agile is preferred. This is a part-time opportunity.",0-1 years,BTech Information Technology,5.3,Part-time,"Python, Java, SQL, Git, REST API, Docker, Agile"
JOB687080,Data Engineer,LTIMindtree,"Nagpur, Maharashtra","We are hiring a Data Engineer at LTIMindtree in Nagpur, Maharashtra. The role requires 2-5 years of experience and MCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Databricks, Azure, Spark, ETL, Python, SQL is preferred. This is a full-time opportunity.",2-5 years,MCA,6.3,Full-time,"Databricks, Azure, Spark, ETL, Python, SQL"
JOB125990,Software Engineer,Accenture,"Nagpur, Maharashtra","We are hiring a Software Engineer at Accenture in Nagpur, Maharashtra. The role requires 5-8 years of experience and BCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Java, Python, C++, SQL, REST API, Git, Agile is preferred. This is a part-time opportunity.",5-8 years,BCA,11.8,Part-time,"Java, Python, C++, SQL, REST API, Git, Agile"
JOB140605,Python Developer,Tech Mahindra,"Bengaluru, Karnataka","We are hiring a Python Developer at Tech Mahindra in Bengaluru, Karnataka. The role requires 2-5 years of experience and BCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, Docker, FastAPI, Django, REST API, PostgreSQL is preferred. This is a full-time opportunity.",2-5 years,BCA,6.5,Full-time,"Python, Docker, FastAPI, Django, REST API, PostgreSQL"
JOB338651,DevOps Engineer,Cognizant,"Noida, Uttar Pradesh","We are hiring a DevOps Engineer at Cognizant in Noida, Uttar Pradesh. The role requires 2-5 years of experience and BSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with AWS, Terraform, Docker, Kubernetes, Jenkins, CI/CD is preferred. This is a contract opportunity.",2-5 years,BSc Data Science,9.5,Contract,"AWS, Terraform, Docker, Kubernetes, Jenkins, CI/CD"
JOB392683,Data Scientist,Mphasis,"Hyderabad, Telangana","We are hiring a Data Scientist at Mphasis in Hyderabad, Telangana. The role requires 1-3 years of experience and BSc Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, Pandas, NumPy, Scikit-learn, Machine Learning, SQL is preferred. This is a full-time opportunity.",1-3 years,BSc Computer Science,9.3,Full-time,"Python, Pandas, NumPy, Scikit-learn, Machine Learning, SQL"
JOB378361,Power BI Developer,TCS,"Mumbai, Maharashtra","We are hiring a Power BI Developer at TCS in Mumbai, Maharashtra. The role requires 3-6 years of experience and BSc Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Power BI, Excel, DAX, SQL, Data Modeling is preferred. This is a part-time opportunity.",3-6 years,BSc Computer Science,8.4,Part-time,"Power BI, Excel, DAX, SQL, Data Modeling"
JOB636265,Data Analyst,LTIMindtree,"Remote, India","We are hiring a Data Analyst at LTIMindtree in Remote, India. The role requires 0-1 years of experience and BSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL, Power BI, Excel, Tableau, Python is preferred. This is a internship opportunity.",0-1 years,BSc Data Science,6.2,Internship,"SQL, Power BI, Excel, Tableau, Python"
JOB945687,Business Analyst,IBM,"Pune, Maharashtra","We are hiring a Business Analyst at IBM in Pune, Maharashtra. The role requires 1-3 years of experience and MSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Tableau, Excel, SQL, Business Analysis, JIRA is preferred. This is a full-time opportunity.",1-3 years,MSc Data Science,6.6,Full-time,"Tableau, Excel, SQL, Business Analysis, JIRA"
JOB230679,SQL Developer,Oracle,"Mumbai, Maharashtra","We are hiring a SQL Developer at Oracle in Mumbai, Maharashtra. The role requires 2-5 years of experience and BSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL, MySQL, PostgreSQL, SQL Server, ETL, Database Design is preferred. This is a contract opportunity.",2-5 years,BSc Data Science,8.4,Contract,"SQL, MySQL, PostgreSQL, SQL Server, ETL, Database Design"
JOB410016,AI Engineer,Deloitte,"Ahmedabad, Gujarat","We are hiring a AI Engineer at Deloitte in Ahmedabad, Gujarat. The role requires 3-6 years of experience and MSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, TensorFlow, NLP, LLM, Docker, Deep Learning is preferred. This is a contract opportunity.",3-6 years,MSc Data Science,7.1,Contract,"Python, TensorFlow, NLP, LLM, Docker, Deep Learning"
JOB415568,SQL Developer,Oracle,"Ahmedabad, Gujarat","We are hiring a SQL Developer at Oracle in Ahmedabad, Gujarat. The role requires 1-3 years of experience and MSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL, MySQL, PostgreSQL, SQL Server, ETL, Database Design is preferred. This is a part-time opportunity.",1-3 years,MSc Data Science,7.2,Part-time,"SQL, MySQL, PostgreSQL, SQL Server, ETL, Database Design"
JOB563638,Machine Learning Engineer,Deloitte,"Nagpur, Maharashtra","We are hiring a Machine Learning Engineer at Deloitte in Nagpur, Maharashtra. The role requires 3-6 years of experience and MSc Data Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, Scikit-learn, TensorFlow, Machine Learning, SQL, Docker is preferred. This is a contract opportunity.",3-6 years,MSc Data Science,7.6,Contract,"Python, Scikit-learn, TensorFlow, Machine Learning, SQL, Docker"
JOB763686,Java Developer,Capgemini,"Ahmedabad, Gujarat","We are hiring a Java Developer at Capgemini in Ahmedabad, Gujarat. The role requires 3-6 years of experience and BE Computer Engineering or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Java, Spring Boot, Hibernate, Microservices, REST API, Git is preferred. This is a contract opportunity.",3-6 years,BE Computer Engineering,7.9,Contract,"Java, Spring Boot, Hibernate, Microservices, REST API, Git"
JOB254511,Web Developer,Tech Mahindra,"Ahmedabad, Gujarat","We are hiring a Web Developer at Tech Mahindra in Ahmedabad, Gujarat. The role requires 1-3 years of experience and BSc Computer Science or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with React, Node.js, JavaScript, MongoDB, HTML, CSS is preferred. This is a part-time opportunity.",1-3 years,BSc Computer Science,8.3,Part-time,"React, Node.js, JavaScript, MongoDB, HTML, CSS"
JOB760356,Data Analyst,Amazon,"Gurugram, Haryana","We are hiring a Data Analyst at Amazon in Gurugram, Haryana. The role requires 2-5 years of experience and BE Computer Engineering or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with SQL, Power BI, Excel, Tableau, Python is preferred. This is a internship opportunity.",2-5 years,BE Computer Engineering,6.7,Internship,"SQL, Power BI, Excel, Tableau, Python"
JOB105814,Web Developer,Amazon,"Chennai, Tamil Nadu","We are hiring a Web Developer at Amazon in Chennai, Tamil Nadu. The role requires 3-6 years of experience and MCA or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with HTML, CSS, JavaScript, React, Node.js, REST API, Git is preferred. This is a part-time opportunity.",3-6 years,MCA,8.9,Part-time,"HTML, CSS, JavaScript, React, Node.js, REST API, Git"
JOB361303,Software Engineer,Tech Mahindra,"Nashik, Maharashtra","We are hiring a Software Engineer at Tech Mahindra in Nashik, Maharashtra. The role requires 3-6 years of experience and BTech Information Technology or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, Java, SQL, Git, REST API, Docker, Agile is preferred. This is a internship opportunity.",3-6 years,BTech Information Technology,4.6,Internship,"Python, Java, SQL, Git, REST API, Docker, Agile"
JOB564071,Software Engineer,Accenture,"Noida, Uttar Pradesh","We are hiring a Software Engineer at Accenture in Noida, Uttar Pradesh. The role requires 3-6 years of experience and BTech Information Technology or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with Python, Java, SQL, Git, REST API, Docker, Agile is preferred. This is a contract opportunity.",3-6 years,BTech Information Technology,11,Contract,"Python, Java, SQL, Git, REST API, Docker, Agile"
JOB359249,Web Developer,Capgemini,"Remote, India","We are hiring a Web Developer at Capgemini in Remote, India. The role requires 5-8 years of experience and Any Graduate or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with React, Node.js, JavaScript, MongoDB, HTML, CSS is preferred. This is a internship opportunity.",5-8 years,Any Graduate,7,Internship,"React, Node.js, JavaScript, MongoDB, HTML, CSS"
JOB345884,DevOps Engineer,Tech Mahindra,"Bengaluru, Karnataka","We are hiring a DevOps Engineer at Tech Mahindra in Bengaluru, Karnataka. The role requires 5-8 years of experience and Any Graduate or a related qualification. The candidate will analyze business requirements, develop solutions, solve technical problems, improve performance, and communicate results. Experience with AWS, Terraform, Docker, Kubernetes, Jenkins, CI/CD is preferred. This is a full-time opportunity.",5-8 years,Any Graduate,10.5,Full-time,"AWS, Terraform, Docker, Kubernetes, Jenkins, CI/CD"
